MATRICULA,BA000118,BA000122,BA000171,BA000200,BA000949,BA001073,BA001074,BA001075,BA001078,BA001079,BA001082,BA001083,BA001084,BA001085,BA001089,BA001090,BA001091,BA001231,BA001367,BA001430,BA001432,BA001440,BA001442,BA001495,BA001651,BA001652,BA001653,BA001911,BA010801,BA010803,BA010901,BA010902,BA010903,BA010904,BA010905,BA010906,BA010907,BA010993,BA011004,BA011010,BA011012,BA011015,BA011019,BA011505,BA011518,BA011736,BA013607,BA013610,BA015712,BA017501,BA017505,BA017510,BA017512,BA017513,BA017515,BA017518,TRT001,"17504,00",ACG038,ACG039,ACG046,ACG047,ACG50
721,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001302,,,,,,,,,,,,,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30001530,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30001637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,
40001063,,,,1.10,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,
40001095,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40001121,,,,,,,,0.00,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,0.00,,,,,,,
40001127,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,0.00,
40001641,,1.10,,0.60,,,,,,1.10,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000271,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000276,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000782,6.85,,,,,,,,,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,0.00,,0.00,,
50000796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,
50001072,6.15,,,,,,,,6.80,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,
50001391,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,0.00,,,,,,
50001401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,0.00,,,0.00,
50001515,,,,,,,,,6.40,,,,,,,,,,,,,,,,,,,,,,,,,,,7.50,,,,,,8.60,,,,,,,,,,,,,7.00,,,,,,,,
50001638,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50869994,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51000139,,,,,2.60,,,,,,,,,,,,,,,,,,,1.20,,,,,0.00,,,,,,0.00,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,
51299995,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,6.00,,,,,,,,,
60000594,,,,,,,,,,,,,,,,,5.10,,,,,,,,,,,,,,,,,,,7.00,,1.00,,,,,,,,,,,,,,,,,8.85,,,,,,,,
60001165,,,,,,,,,,,,,,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60001170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.21,,,,0.00,,,,
60001171,,,,,,,,,,,6.00,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60300008,,1.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600300025,,,,,,,,,,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.90,,,,,,,,,,
1600409998,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
1600410046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00
1600410062,,,,,,,,,,,,,,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,,,
1600410221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
1600420233,,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600420252,,5.10,,,,,,,,,1.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600420283,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
1600420284,0.00,,,,,,,,6.00,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43,,,,,,,,
1700289994,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,
1700410289,,1.70,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,8.50,6.00,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,
1700410304,,,,,9.10,,,,,,1.50,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700420088,,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,3.40,8.60,,,,,,,8.30,,,,,,,,,,,,,,,,,,
1700420111,,,,,,,,,,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,
1700420124,,,2.90,,,,,6.50,,,,,,,,,8.80,,,,,,,,,,,9.20,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,
1700420126,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,
1700420131,,,,,,,,,,,,,,7.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,
1700420386,,,,,,,,,,3.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48,,,,,,,,
1700430316,,,,6.00,,,,,,,3.50,0.00,,,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00
1701299995,,,,,,,,,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06,,,,,,,,,,
1701299997,,,,,,,,,,1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,,,,,,,,,,
1800300012,,,3.08,,,,,6.50,,,,,,,,,8.80,,,,,,,,,,,9.20,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,0.00,,,0.00,
1800300013,,6.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800410493,,,,,,,,,,,,0.00,,,7.00,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,
1800410496,,6.50,,0.68,,,,,,5.40,2.50,,,,,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,
1800410655,,,6.25,,,,,,,,6.00,7.00,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,
1800410692,,,2.71,1.21,,,,,,,,,,,6.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,
1800420506,,,,0.00,,,,,,,,0.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800420712,5.31,,,,,,,,,3.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.50,,,,,,,,6.52,,,,,,,,
1800420750,,,,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,6.28,,,,,,,,,7.70,,,,,,,,,,,,,,8.10,,,,,,,,,
1800420764,,0.80,,,0.00,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,8.50,,,,,,,,,6.00,,,,,,,,,,,,,,,,,,
1800420775,,,,,9.40,,,,,,,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800420803,1.10,,,,,,,,,3.10,8.00,,,,,,,,,,,,,,,,,,,,,,,7.00,,,,,,,,6.04,,,,,,,,,,,,,5.63,,,,,,0.00,0.00,
1800430324,,,,2.30,,,,,7.10,6.00,,,,,,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,,,,,,,,7.98,,,,0.00,0.00,0.00,,
1800510125,,,,,,,,,,,,,,,,,,,,,0.00,,,6.30,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801289997,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801300000,,,,,,,,,,,,,10.00,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,0.00,0.00
1908950762,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,
1908950763,,,6.01,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.10,,,,8.41,,,,,,,,,,,,,,,,,0.00,,,0.00,
1908950764,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,0.00,,,,,,,,,,0.00,,0.00,,,,,,,,,,,,,,,,,,
1908950766,,6.40,7.73,,,,,,,,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908950783,,,,,,,,,,,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
1908950785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
1908950786,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908950787,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,2.49,,,,,,,,,,,,0.00,,,,,,8.80,,,,,,,2.62,,,,,,,
1908950789,,,,,,,,,,,,,,,,,,,,4.30,,,,,0.00,0.00,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908950987,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.10,0.00,0.00,,1.70,,,,,,1.00,,6.50,,,,,,,,,0.00,,,,,,,,,
1908950991,,,,,,,,,0.00,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
1908951386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908951958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
1908952033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
1908952461,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.00,,,,,,,0.00,,,,,,,,,,,,,,,,,,
1908952468,4.27,,,,,,,,6.50,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,6.98,,,,0.00,,,,
1909050648,,,,,,,,,,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39,,,,,,,,,,
1909050661,,,1.27,,,,,,,0.90,,,,,,,6.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,,,,,,,,,,,,,,,,
2001259994,,,,,,0.00,8.40,,,0.00,,,,,,,,,,,,,,,,0.00,,,,,0.00,,9.50,,,,,6.10,0.00,0.00,,0.00,0.00,,,0.00,,,,0.00,0.00,0.00,,,,,,0.00,0.00,,,,
2008951617,,,,,,,,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,7.00,,,,,,9.00,6.00,,,,,,,,,,7.12,,,,,,,,,,
2008951623,5.12,,,,,,,,6.70,4.50,,,,,,10.00,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,,6.00,,,,,,6.01,,,,0.00,,0.00,,
2008951624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
2008951627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
2008951632,,,,,,,,,6.40,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,,6.60,,,,,,7.12,,,,,,,,
2008951633,4.82,,,,,,,,6.90,4.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.50,,6.00,,,,,,6.30,,,,,,,,
2008951634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
2008952617,,,,,,,,6.00,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,5.50,,0.60,,,,,0.00,,,,,,,,,,6.00,8.10,,,,,,,,,
2008952619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.17,0.00,,,,,,,0.00,,,0.50,,,,,,,,,,,,,,,,,,,,,
2008952621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.50,,7.21,,,,,,,,,,0.00,,0.00,0.00,
2008952622,,,,,,,,,7.60,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.09,,,,0.00,,0.00,0.00,
2008952623,2.70,,,,,,,,6.30,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,,7.00,,,,,,6.05,,,,,,,,
2008952624,,,,,,,,9.50,,,,,,,,,,,,,,,,,,,,,,,,,,,9.50,7.00,,,,,6.10,,0.00,,,,,,10.00,,,,,,,,,,,,,,
2008952626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,
2008952629,,,,,,,,,6.90,,,,,,,,,,,,,,,,,8.74,,,,,,,,,9.50,6.00,,,,,,,,,7.60,,,,6.60,,,,,,,,,,,,,,
2008952698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18,,,4.60,,,,,,,,,,,,,,5.09,,,,,,,
2008953262,6.31,,,,,,,,7.00,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,,6.33,,,,,,6.60,,,,,,,,
2008953368,4.62,,,,,,,,8.00,5.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.50,,7.95,,,,,,7.97,,,,,,,,
